icao_id,name,state,wban_id,wmo_id,lat,lng,elevation_feet
K0VG,Lee County Airport,VA,00274,,36.65408,-83.21783,430.07
KXSA,Tappahannock-Essex County Airport,VA,00155,,37.859611,-76.894111,41.15
KFCI,Chesterfield County Airport,VA,00153,,37.406444,-77.524833,72.24
KLUA,Luray Caverns,VA,00416,,38.6671,-78.5006,275.23
KPVG,Norfolk Hampton Roads Executive Airport,VA,00154,,36.7801,-76.4488,7.01
KW81,Crewe Municipal Airport,VA,,,37.181,-78.0983,128.02
KLVL,Lawrenceville/Brunswick Municipal Airport,VA,,,36.7728,-77.7943,100.28
KW31,Lunenburg County Airport,VA,,,36.9601,-78.185,160.32
KW78,William M Tuck Airport,VA,,,36.71,-78.848,128.02
K0V4,Brookneal/Campbell County Airport,VA,,,37.1417,-79.0164,181.66
K8W2,New Market Airport,VA,,,38.6557,-78.7081,297.18
KW13,Eagles Nest Airport,VA,,,38.0769,-78.9444,437.69
KW96,New Kent County,VA,,,37.5032,-77.1255,37.49
KW75,Saluda Hummel Field,VA,,,37.6024,-76.4467,9.14
KCXE,Chase City Municipal Airport,VA,,,36.7883,-78.5016,153.31
K7W4,Lake Anna Airport,VA,,,37.9658,-77.7459,106.98
KTGI,Tangier Island Airport,VA,,,37.82587,-75.99766,1.52
TIST,"King Airport, St. Thomas",VI,11640,78543,18.3373,-64.9734,0.0
TISX,St. Croix,VI,11624,78551,17.7004,-64.806,14.01
KBTV,"Burlington, Burlington International Airport",VT,14742,72617,44.46806,-73.15028,101.08
KDDH,Bennington Morse State Airport,VT,54781,72516,42.89355,-73.2486,240.98
KEFK,Northeast Kingdom International Airport,VT,54758,,44.88846,-72.23593,278.89
KMPV,"Barre / Montpelier, Knapp State Airport",VT,94705,,44.20472,-72.56611,336.7
KMVL,Morrisville-Stowe State Airport,VT,54771,,44.53589,-72.61625,224.35
KRUT,Rutland-Southern Vermont Regional Airport,VT,94737,,43.53333,-72.95,238.96
KVSF,"Springfield, Hartness State Springfield Airport",VT,54740,,43.3425,-72.52167,173.19
KCDA,Caledonia County Airport,VT,00151,,44.5691142,-72.0179789,362.1
KALW,Walla Walla Regional Airport,WA,24160,,46.09462,-118.2858,356.66
KAWO,Arlington Municipal Airport,WA,04205,,48.1585,-122.15909,41.76
KBFI,Boeing Field - King County International Airport,WA,24234,,47.54548,-122.3147,7.64
KBLI,"Bellingham, Bellingham International Airport",WA,24217,,48.79911,-122.54064,45.86
KCLM,Port Angeles Fairchild International Airport,WA,94266,,48.12194,-123.50661,83.17
